state_ut,year,cases_pending_investigation_from_previous_year,cases_registered,total_cases_for_investigation,no_of_cases_investigated,cases_not_investigated_or_in_which_investigation_was_dropped_due_to_any_reason,cases_transferred_to_local_police,cases_declared_false_mistake_of_fact_or_of_law_or_non_cognizable_or_civil_in_nature,cases_in_which_charge_sheets_were_laid,cases_pending_departmental_sanction_for_prosecution,cases_sent_up_for_trial_and_also_reported_for_departmental_action,cases_reported_for_regular_departmental_action,cases_reported_for_suitable_action,cases_in_which_charge_sheets_were_not_laid_but_final_report_submitted,cases_pending_investigation_at_the_end_of_the_year,cases_resulted_in_recoveries_or_seizures,value_of_property_recovered_or_seized_in_rs,percentage_of_cases_charge_sheeted_to_total_cases_investigated,cases_pending_trial_from_the_previous_year,cases_sent_up_for_trial,total_cases_for_trial,cases_withdrawn_or_other_wise_disposed_off_on_account_of_death_of_the_accused,cases_in_which_trials_were_completed,cases_convicted,cases_acquitted_or_discharged,cases_pending_trial_at_the_end_of_the_year,percentage_of_cases_convicted_to_cases_in_which_trials_were_completed,total_amount_of_fine_imposed_in_rs
Tamil Nadu,2003,116,152,268,268,3,0,0,25,11,24,7,1,10,228,32,825623,0,115,25,140,0,16,11,5,124,0,43600
Karnataka,2003,140,93,233,233,0,1,16,43,34,0,0,0,0,139,30,600250,0,1051,43,1094,20,186,19,167,888,0,312664
Delhi,2003,81,77,158,46,0,0,0,46,10,17,43,0,0,112,41,75342,0,348,46,394,3,31,8,23,360,0,80000
Jammu & Kashmir,2003,290,73,363,107,0,0,0,16,29,0,52,0,75,298,0,0,0,415,16,431,3,51,4,41,377,0,10000
Himachal Pradesh,2003,150,55,205,205,0,0,0,27,16,14,1,0,26,152,18,49900,0,88,27,115,1,32,4,28,82,0,30000
Jharkhand,2003,80,36,116,29,0,0,0,29,33,22,0,0,0,80,72,195500,0,217,22,116,1,0,4,0,213,0,11000
Assam,2003,48,26,74,74,0,0,0,7,13,7,0,0,0,48,0,0,0,31,7,38,0,0,0,0,38,0,0
Bihar,2003,174,22,196,196,0,0,0,16,30,16,0,0,0,179,2,300000,0,0,0,0,1,0,0,0,0,0,0
Chhattisgarh,2003,107,15,122,101,0,1,0,28,38,0,0,0,1,92,13,4671240,0,148,28,176,0,33,23,10,143,0,123700
Sikkim,2003,42,7,49,49,0,0,0,7,2,0,2,1,17,42,0,0,0,16,7,23,0,5,5,0,18,0,16200
Chandigarh,2003,10,6,16,16,0,0,0,3,0,0,0,0,0,13,0,0,0,13,3,16,0,1,0,1,15,0,0
Goa,2003,16,5,21,21,0,0,0,3,0,3,0,0,0,18,0,0,14.2,21,3,24,1,1,0,1,22,0,0
Andaman & Nicobar Islands,2003,7,3,10,9,0,1,0,1,0,0,0,0,3,7,0,0,0,2,1,3,0,0,0,0,3,0,0
Arunachal Pradesh,2003,0,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttarakhand,2003,12,3,15,0,0,0,0,0,0,0,0,0,0,15,1,20000,0,11,0,11,0,1,0,1,10,0,0
Tripura,2003,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0
Dadra & Nagar Haveli,2003,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,25000,0,2,1,3,1,0,0,0,2,0,0
Lakshadweep,2003,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,3,0,1,1,0,2,100,3000
Manipur,2003,16,1,17,17,0,0,0,3,0,0,0,0,0,0,14,0,0,11,3,14,0,0,0,0,14,0,0
Puducherry,2003,9,1,10,10,0,0,0,1,1,0,0,0,0,9,0,0,0,5,1,6,0,1,0,1,5,0,0
West Bengal,2003,25,1,26,26,0,0,0,1,0,0,0,0,0,25,1,4000,0,24,1,25,0,0,0,0,25,0,0
Daman & Diu,2003,3,0,3,3,0,0,0,0,2,0,0,0,1,2,0,0,66.6,0,0,0,0,0,0,0,0,0,0
Meghalaya,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,7,0,0
Nagaland,2003,4,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Maharashtra,2004,520,446,966,966,0,0,4,460,206,0,2,0,66,471,183,9866815,0,2680,460,3140,22,557,168,389,2561,0,658900
Punjab,2004,476,384,860,343,57,1,10,290,136,131,0,38,0,476,0,0,0,936,290,1226,10,222,100,122,994,0,1035500
Rajasthan,2004,1210,294,1504,1504,0,0,0,234,299,0,61,0,119,1051,213,621290,0,922,256,1178,0,147,46,101,1031,0,825000
Odisha,2004,298,272,570,570,2,1,4,192,33,107,71,2,49,410,86,94799369,0,2021,192,2213,5,56,12,44,2152,0,20000
Andhra Pradesh,2004,389,195,584,305,1,0,0,172,26,31,37,1,68,279,175,858650,0,943,172,1115,0,92,52,40,1023,0,129800
Gujarat,2004,95,195,290,173,0,0,5,159,53,2,1,0,4,135,153,2453777,0,1583,159,1742,2,237,79,158,1503,0,619000
Kerala,2004,552,146,698,698,2,0,33,98,13,6,22,1,2,520,8,0,0,322,98,420,1,40,14,26,379,0,669000
Madhya Pradesh,2004,265,111,376,376,0,0,0,283,186,0,5,0,20,107,7,31286758,75,508,283,791,4,151,65,86,636,43,2392988
Haryana,2004,228,108,336,246,0,0,10,123,16,84,0,0,18,199,27,83900,0,496,123,619,3,87,22,65,529,0,163800
Tamil Nadu,2004,228,93,321,321,0,0,0,14,10,10,7,0,27,264,27,23278250,0,124,14,138,0,4,2,2,134,0,116000
Karnataka,2004,139,77,216,216,4,1,2,60,82,0,7,0,0,142,77,91050,0,888,60,948,0,265,41,224,683,0,318500
Delhi,2004,112,62,174,30,0,0,0,30,19,14,40,0,3,144,43,127555,0,360,30,390,3,40,18,22,347,0,123000
Bihar,2004,179,31,210,210,0,0,0,17,31,0,0,0,0,219,11,27000,0,0,0,0,0,7,6,1,357,0,22500
Jammu & Kashmir,2004,298,27,325,112,0,0,0,7,17,0,54,0,76,213,0,0,0,377,7,384,13,54,4,50,317,0,63000
Jharkhand,2004,92,26,118,31,0,0,0,31,38,31,26,0,0,92,0,27400,2,31,31,1,11,1,2,0,2,0,0
Uttar Pradesh,2004,23,26,49,49,0,0,0,27,48,10,1,0,4,56,0,0,0,278,27,305,4,5,1,4,296,0,0
Himachal Pradesh,2004,152,20,172,172,0,0,0,28,19,11,1,0,12,133,8,29200,0,82,28,110,1,29,11,18,80,0,41000
Assam,2004,54,17,71,71,0,0,0,2,17,0,0,0,0,54,0,0,38,2,40,0,0,0,0,0,38,0,0
Chhattisgarh,2004,92,16,108,92,0,0,0,23,37,0,0,0,3,82,16,247537,0,143,23,166,0,29,18,11,137,0,56200
Sikkim,2004,42,12,54,54,0,0,0,8,0,2,6,0,17,29,1,16616,0,19,8,27,3,2,1,1,22,0,35000
Uttarakhand,2004,15,11,26,4,0,0,0,4,0,0,0,0,0,12,1,4000,0,10,4,14,0,1,0,1,13,0,0
Chandigarh,2004,13,5,18,18,2,0,0,1,0,0,0,0,0,15,0,0,0,15,1,16,0,1,0,1,15,0,0
Andaman & Nicobar Islands,2004,7,3,10,10,0,0,0,0,0,0,0,0,0,10,0,0,0,3,0,3,0,0,0,0,3,0,0
Nagaland,2004,4,2,6,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tripura,2004,2,2,4,4,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,2,0,0,0,0,2,0,0
Dadra & Nagar Haveli,2004,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,10500,0,2,0,2,0,0,0,0,2,0,0
Goa,2004,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Manipur,2004,14,1,15,15,0,0,0,2,0,0,0,0,1,12,0,0,14,2,16,0,0,0,0,1,15,0,0
Puducherry,2004,9,1,10,10,0,0,0,2,0,0,0,0,0,9,0,0,0,5,2,7,0,1,0,1,6,0,0
Arunachal Pradesh,2004,3,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,2004,2,0,2,2,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0
Lakshadweep,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,7,0,0
West Bengal,2004,25,0,25,25,0,0,0,0,0,0,0,0,0,25,1,4000,0,25,0,25,0,0,0,0,25,0,0
Punjab,2005,476,449,925,444,102,2,8,340,166,176,0,21,68,522,346,1317150,0,994,340,1334,32,189,80,109,1113,0,739000
Maharashtra,2005,471,437,908,908,0,1,0,368,213,0,12,0,25,536,172,7233542,0,2561,368,2929,11,617,159,458,2301,0,696800
Karnataka,2005,142,313,455,455,5,1,0,172,81,0,0,0,0,196,39,19463623,0,683,172,855,6,271,42,229,578,0,1815431
Rajasthan,2005,1051,311,1362,1362,0,0,0,242,247,0,103,0,114,1006,197,603400,0,1031,242,1273,0,116,39,77,1157,35.8,892500
Odisha,2005,410,291,701,701,0,1,0,182,48,91,69,6,53,342,114,14469388,0,2152,182,2334,4,67,19,48,2263,0,20000
Andhra Pradesh,2005,279,251,530,300,2,0,0,232,43,78,9,0,69,232,184,20861842,0,1023,232,1255,8,148,84,64,1099,0,965767
Gujarat,2005,135,205,340,177,0,0,3,141,33,0,0,0,3,196,175,799894,0,1503,141,1644,0,329,109,220,1315,0,571770
Haryana,2005,199,151,350,243,1,0,3,114,26,68,0,0,25,214,41,148890,0,529,114,643,4,107,29,78,532,0,254000
Kerala,2005,520,143,663,663,0,1,25,117,17,1,7,26,30,531,4,0,0,379,117,496,0,55,27,28,441,0,1129000
Tamil Nadu,2005,264,128,392,392,0,0,0,19,54,53,21,3,54,262,0,2005371,0,134,19,153,0,5,5,0,148,0,28000
Jammu & Kashmir,2005,213,65,278,127,0,1,0,44,33,0,26,0,184,151,5,12015400,0,317,44,361,5,32,9,23,324,0,771000
Delhi,2005,144,61,205,53,2,0,1,50,21,17,64,0,3,155,46,156524,0,347,50,397,5,42,18,24,350,0,198500
Himachal Pradesh,2005,133,48,181,181,0,0,0,39,20,12,1,0,9,133,20,94000,0,80,39,119,1,18,5,13,100,0,82000
Uttar Pradesh,2005,56,41,97,97,0,0,0,34,34,8,4,0,6,74,0,0,0,296,37,333,0,13,4,9,320,0,0
Chhattisgarh,2005,82,37,119,105,0,0,0,21,37,0,0,0,4,57,36,4766175,0,137,21,158,0,31,15,16,127,0,50000
Madhya Pradesh,2005,107,29,136,136,0,0,0,133,86,0,3,0,14,0,3,1552012,89.9,636,133,769,8,184,85,91,585,48,360900
Bihar,2005,319,21,340,340,0,0,0,23,0,43,0,0,0,227,6,18400,0,347,30,377,2,3,3,0,372,0,0
Sikkim,2005,29,16,45,45,0,0,0,7,1,0,2,0,5,33,0,0,0,22,7,29,1,3,3,0,25,0,7000
Assam,2005,69,9,78,78,0,0,0,1,22,1,0,0,0,69,0,0,0,40,1,41,0,1,1,0,40,0,0
Uttarakhand,2005,12,8,20,2,0,0,0,2,0,0,0,0,0,18,1,116800,0,13,2,15,0,0,0,0,15,0,0
Chandigarh,2005,15,7,22,22,0,0,0,4,0,0,0,0,0,18,0,0,0,15,4,19,0,1,0,1,18,0,0
Manipur,2005,12,3,15,15,0,0,0,2,0,1,0,0,4,9,0,0,0,15,2,17,0,0,0,0,17,0,0
Puducherry,2005,8,3,11,11,1,0,1,5,0,0,0,0,1,5,0,0,0,6,5,11,0,0,0,0,11,0,0
Andaman & Nicobar Islands,2005,10,2,12,3,0,0,2,1,3,1,0,0,2,9,0,0,8.3,3,1,4,0,0,0,0,4,0,0
Goa,2005,1,2,3,3,0,0,0,1,0,1,0,2,0,2,2,10000,0,0,1,1,0,0,0,0,1,0,0
Meghalaya,2005,0,2,2,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,2005,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0,0,2,0,0
Nagaland,2005,6,1,7,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tripura,2005,4,1,5,1,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,2,0,0,0,0,2,0,0
Arunachal Pradesh,2005,3,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Dadra & Nagar Haveli,2005,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,3,0,0
Daman & Diu,2005,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bengal,2005,25,0,25,25,0,0,0,0,0,0,0,0,0,25,0,0,0,25,0,25,0,0,0,0,25,0,0
Maharashtra,2006,536,476,1012,1012,0,0,1,334,176,0,16,0,19,682,181,9079519,0,2301,334,2635,4,408,102,306,2223,0,2333300
Rajasthan,2006,1006,377,1383,1383,0,0,0,351,245,134,134,0,159,873,251,984840,0,1157,351,1508,0,181,44,137,1327,24.3,227400
Punjab,2006,522,312,834,358,7,2,18,265,174,265,0,7,94,476,104,620700,0,1113,265,1378,5,193,50,143,1180,0,233900
Haryana,2006,214,307,521,355,0,0,2,200,25,101,0,0,11,325,118,803595,0,532,200,732,4,98,26,72,630,0,152700
Karnataka,2006,196,288,484,484,0,0,50,158,121,145,145,1,50,276,197,17693027,0,578,158,736,2,224,22,202,510,0,204400
Odisha,2006,342,288,630,630,0,5,9,183,63,91,85,7,49,384,70,11551999,0,2263,183,2446,2,104,40,64,2340,0,265500
Andhra Pradesh,2006,232,234,466,352,4,0,0,223,32,117,18,0,108,116,227,41949744,0,1099,223,1322,8,254,148,106,1060,0,529050
Gujarat,2006,196,204,400,204,0,0,7,179,59,0,3,0,7,175,204,2099033,0,1315,179,1494,0,316,88,228,1178,0,1103600
Kerala,2006,531,122,653,653,1,0,19,75,20,2,11,19,18,521,5,0,0,441,75,516,1,34,25,9,481,0,1577000
Tamil Nadu,2006,262,109,371,371,4,0,0,9,12,28,103,2,46,216,61,1424728,0,148,9,157,1,14,1,13,142,0,6000
Bihar,2006,227,104,331,331,0,1,0,69,60,0,0,0,15,220,70,25359911,0,372,69,443,1,1,1,0,440,0,0
Uttar Pradesh,2006,74,100,174,174,0,0,0,59,35,25,2,0,12,115,0,0,0,320,59,379,1,18,0,18,360,0,0
Jammu & Kashmir,2006,151,84,235,116,0,0,0,93,42,0,5,0,92,119,27,12941312,0,324,93,417,1,73,8,65,343,0,4025000
Delhi,2006,155,82,237,83,1,0,0,82,25,43,88,0,1,152,55,1019200,0,350,82,432,5,38,29,9,389,0,491000
Chhattisgarh,2006,57,48,105,85,0,0,0,25,25,0,0,0,1,88,44,21288440,0,127,25,152,0,18,5,13,134,0,27500
Himachal Pradesh,2006,133,45,178,178,0,0,0,29,21,2,0,0,14,135,14,51100,0,100,29,129,1,16,3,13,112,0,11400
Madhya Pradesh,2006,83,37,120,120,0,0,0,83,31,0,2,0,9,49,0,0,88.4,585,83,668,2,270,172,98,396,63,5592578
Jharkhand,2006,94,15,109,109,0,0,0,12,28,12,12,12,0,97,15,46700,100,156,12,167,0,1,1,0,167,100,2000
Chandigarh,2006,18,13,31,31,1,0,0,8,0,0,0,0,0,23,0,0,0,18,8,26,0,2,0,2,24,0,0
Uttarakhand,2006,18,11,29,2,0,0,0,2,1,2,1,1,0,27,2,7000,0,15,2,17,0,0,0,0,17,0,0
Sikkim,2006,33,10,43,43,0,0,0,5,0,0,3,1,8,30,0,0,0,25,5,30,2,3,3,0,25,19000,0
Andaman & Nicobar Islands,2006,9,4,13,13,0,0,1,3,0,0,0,0,1,9,0,0,0,4,3,7,0,0,0,0,7,0,0
Puducherry,2006,4,4,8,8,1,0,1,3,5,3,0,0,1,2,1,0,0,11,3,14,0,6,3,3,8,0,3000
